Prosopium coulterii
Cymatogaster aggregata
Catostomus columbianus
Percina suttkusi
Percina nigrofasciata
Percopsis omiscomaycus
Oncorhynchus nerka
Salvelinus malma
Percopsis transmontana
Notropis telescopus
Etheostoma tennesseense
Cyprinella callistia
Cyprinella trichroistia
Lythrurus bellus
Notropis stilbius
Notropis xaenocephalus
Hypentelium etowanum
Micropterus coosae
Etheostoma jordani
Percina palmaris
Fundulus stellifer
Etheostoma coosae
Notropis chrosomus
Percina kathae
Lythrurus lirus
Phenacobius catostomus
Etheostoma ramseyi
Lythrurus alegnotus
Notropis baileyi
Etheostoma lachneri
Etheostoma rupestre
Campostoma pauciradii
Lythrurus atrapiculus
Pteronotropis hypselopterus
Ammocrypta bifascia
Etheostoma colorosum
Etheostoma davisoni
Etheostoma edwini
Notropis amplamala
Semotilus thoreauianus
Notropis uranoscopus
Fundulus nottii
Notropis asperifrons
Etheostoma douglasi
Percina brevicauda
Etheostoma bellator
Notropis cahabae
Percina sipsi
Hemitremia flammea
Etheostoma ditrema
Cyprinella gibbsi
Hybopsis lineapunctata
Luxilus zonistius
Cottus tallapoosae
Etheostoma tallapoosae
Percina smithvanizi
Notropis candidus
Percina aurolineata
Etheostoma chuckwachatte
Etheostoma brevirostrum
Macrhybopsis etnieri
Fundulus bifax
Etheostoma trisella
Cyprinella caerulea
Percina austroperca
Luxilus coccogenis
Phenacobius uranops
Fundulus escambiae
Notropis edwardraneyi
Ammocrypta meridiana
Cyprinella callitaenia
Macrhybopsis pallida
Notropis albizonatus
Notropis melanostomus
Notropis harperi
Macrhybopsis boschungi
Etheostoma corona
Etheostoma neopterum
Etheostoma wapiti
Elassoma alabamae
Etheostoma jessiae
Etheostoma zonifer
Moxostoma lachneri
Notropis micropteryx
Pteronotropis hubbsi
Percina uranidea
Lythrurus snelsoni
Percina nasuta
Noturus taylori
Etheostoma pallididorsum
Noturus lachneri
Pimephales tenellus
Nocomis asper
Notropis greenei
Etheostoma punctulatum
Luxilus cardinalis
Etheostoma autumnale
Luxilus pilsbryi
Erimystax harryi
Noturus albater
Ambloplites constellatus
Etheostoma euzonum
Etheostoma moorei
Etheostoma mihileze
